date,exercise_id,set_order,weight,reps,notes,rpe
2021-10-09,40,3,155,6,"",
2021-10-09,40,4,155,6,"",
2021-10-09,41,1,160,14,"",
2021-10-09,41,2,180,15,"",
2021-10-09,41,3,180,15,"",
2021-10-09,29,1,40,12,"",
2021-10-09,29,2,42.5,12,"",
2021-10-09,29,3,42.5,12,"",
2021-10-09,3,1,85,16,"",
2021-10-09,3,2,85,15,"",
2021-10-09,3,3,85,12,"",
2021-10-09,3,4,55,8,"",
2021-10-09,3,5,25,6,"",
2021-10-09,4,1,85,15,"",
2021-10-09,4,2,85,15,"",
2021-10-09,4,3,85,15,"",
2021-10-09,4,4,55,10,"",
2021-10-09,4,5,25,14,"",
2021-10-10,23,1,85,10,"",8.5
2021-10-10,23,2,85,10,"",
2021-10-10,23,3,85,10,"",
2021-10-10,23,4,85,9,"",
2021-10-10,42,1,45,10,"",
2021-10-10,42,2,45,12,"",
2021-10-10,42,3,45,12,"",
2021-10-10,25,1,32.5,11,"",
2021-10-10,25,2,32.5,10,"",
2021-10-10,25,3,32.5,10,"",
2021-10-10,43,1,40,8,"",
2021-10-10,43,2,40,8,"",
2021-10-10,43,3,40,8,"",
2021-10-10,26,1,24,10,"",
2021-10-10,26,2,24,9,"",
2021-10-10,26,3,24,9,"",
2021-10-10,10,1,12.5,10,"",
2021-10-10,10,2,12.5,10,"",
2021-10-10,10,3,12.5,10,"",
2021-10-10,12,1,20,15,"",
2021-10-10,12,2,20,15,"",
2021-10-10,12,3,20,15,"",
2021-10-10,44,1,10,9,"",
2021-10-10,44,2,10,9,"",
2021-10-10,44,3,10,9,"",
2021-10-11,13,1,0,7,"",
2021-10-11,13,2,0,7,"",
2021-10-11,13,3,0,7,"",
2021-10-11,45,1,35,10,"",
2021-10-11,45,2,35,10,"",
2021-10-11,45,3,35,10,"",
2021-10-11,46,1,55,10,"",
2021-10-11,46,2,55,9,"",
2021-10-11,46,3,55,9,"",
2021-10-11,15,1,60,13,"",
2021-10-11,15,2,60,13,"",
2021-10-11,15,3,60,12,"",
2021-10-11,17,1,25,15,"",
2021-10-11,17,2,25,14,"",
2021-10-11,17,3,25,13,"",
2021-10-11,38,1,17.5,11,"",
2021-10-11,38,2,17.5,10,"",
2021-10-11,38,3,17.5,9,"",
2021-10-13,1,1,125,10,"",
2021-10-13,1,2,125,10,"",
2021-10-13,1,3,125,9,"",
2021-10-13,1,4,125,9,"",
2021-10-13,2,1,22.5,10,"",
2021-10-13,2,2,22.5,10,"",
2021-10-13,2,3,22.5,10,"",
2021-10-13,20,1,95,12,"",
2021-10-13,20,2,105,10,"",
2021-10-13,20,3,105,10,"",
2021-10-13,3,1,85,14,"",
2021-10-13,3,2,70,15,"",
2021-10-13,3,3,70,15,"",
2021-10-13,3,4,55,7,"",
2021-10-13,3,5,25,6,"",
2021-10-13,4,1,85,15,"",
2021-10-13,4,2,85,13,"",
2021-10-13,4,3,85,13,"",
2021-10-13,4,4,55,12,"",
2021-10-13,4,5,40,10,"",
2021-10-13,47,1,35,10,"",
2021-10-13,47,2,35,10,"",
2021-10-13,47,3,35,10,"",
2021-10-14,5,1,95,12,"",
2021-10-14,5,2,95,10,"",
2021-10-14,5,3,95,10,"",
2021-10-14,5,4,95,7,"",
2021-10-14,32,1,27.5,12,"",
2021-10-14,32,2,27.5,11,"",
2021-10-14,32,3,27.5,9,"",
2021-10-14,48,1,22.5,11,"",
2021-10-14,48,2,22.5,10,"",
2021-10-14,48,3,22.5,9,"",
2021-10-14,49,1,24,13,"",
2021-10-14,49,2,24,13,"",
2021-10-14,49,3,24,14,"",
2021-10-14,10,1,12.5,12,"",
2021-10-14,10,2,12.5,10,"",
2021-10-14,10,3,12.5,10,"",
2021-10-14,12,1,15,12,"",
2021-10-14,12,2,15,12,"",
2021-10-14,12,3,15,12,"",
2021-10-15,45,1,35,11,"",
2021-10-15,45,2,35,12,"",
2021-10-15,45,3,35,12,"",
2021-10-15,45,4,35,4,"",
2021-10-15,37,1,70,10,"",
2021-10-15,37,2,70,9,"",
2021-10-15,37,3,70,9,"",
2021-10-15,36,1,65,12,"",
2021-10-15,36,2,65,12,"",
2021-10-15,36,3,65,12,"",
2021-10-15,50,1,25,15,"",
2021-10-15,50,2,25,15,"",
2021-10-15,50,3,25,13,"",
2021-10-15,38,1,17.5,13,"",
2021-10-15,38,2,17.5,11,"",
2021-10-15,38,3,17.5,10,"",
2021-10-15,39,1,30,12,"",
2021-10-15,39,2,30,12,"",
2021-10-15,39,3,30,12,"",
2021-10-15,47,1,35,14,"",
2021-10-15,47,2,35,10,"",
2021-10-15,47,3,35,10,"",
2021-10-16,40,1,160,6,"",
2021-10-16,40,2,160,6,"",
2021-10-16,40,3,160,6,"",
2021-10-16,40,4,160,6,"",
2021-10-16,29,1,42.5,12,"",
2021-10-16,29,2,42.5,12,"",
2021-10-16,29,3,42.5,10,"",
2021-10-16,21,1,32.5,20,"",
2021-10-16,21,2,32.5,20,"",
2021-10-16,21,3,32.5,15,"",
2021-10-16,3,1,85,15,"",
2021-10-16,3,2,85,15,"",
2021-10-16,3,3,85,15,"",
2021-10-16,3,4,85,9,"",
2021-10-16,3,5,85,8,"",
2021-10-16,4,1,100,15,"",
2021-10-16,4,2,100,14,"",
2021-10-16,4,3,100,10,"",
2021-10-16,4,4,70,10,"",
2021-10-16,4,5,40,10,"",
2021-10-16,47,1,35,12,"",
2021-10-16,47,2,35,12,"",
2021-10-16,47,3,35,12,"",
2021-10-16,51,1,60,12,"",
2021-10-16,51,2,60,12,"",
2021-10-16,51,3,60,12,"",
2021-10-17,23,1,85,10,"",
2021-10-17,23,2,85,11,"",
2021-10-17,23,3,85,10,"",
2021-10-17,25,1,32.5,12,"",
2021-10-17,25,2,32.5,12,"",
2021-10-17,25,3,32.5,11,"",
2021-10-17,42,1,50,9,"",
2021-10-17,42,2,50,9,"",
2021-10-17,42,3,50,9,"",
2021-10-17,48,1,22.5,10,"",
2021-10-17,48,2,22.5,10,"",
2021-10-17,48,3,22.5,9,"",
2021-10-17,26,1,24,10,"",
2021-10-17,26,2,12,13,"",
2021-10-17,26,3,12,13,"",
2021-10-17,27,1,25,12,"",
2021-10-17,27,2,25,11,"",
2021-10-17,27,3,25,11,"",
2021-10-17,52,1,10,8,"",
2021-10-17,52,2,10,8,"",
2021-10-17,52,3,10,8,"",
2021-10-18,35,1,85,10,"",
2021-10-18,35,2,85,11,"",
2021-10-18,35,3,85,10,"",
2021-10-18,35,4,85,10,"",
2021-10-18,37,1,70,10,"",
2021-10-18,37,2,70,9,"",
2021-10-18,37,3,70,9,"",
2021-10-18,46,1,57.5,10,"",
2021-10-18,46,2,57.5,10,"",
2021-10-18,46,3,57.5,10,"",
2021-10-18,53,1,70,11,"",
2021-10-18,53,2,70,10,"",
2021-10-18,53,3,70,10,"",
2021-10-18,50,1,25,15,"",
2021-10-18,50,2,25,15,"",
2021-10-18,50,3,25,15,"",
2021-10-18,38,1,17.5,12,"",
2021-10-18,38,2,17.5,12,"",
2021-10-18,38,3,17.5,10,"",
2021-10-18,39,1,30,12,"",
2021-10-18,39,2,30,12,"",
2021-10-20,1,1,125,11,"",
2021-10-20,1,2,125,11,"",
2021-10-20,1,3,125,9,"",
2021-10-20,1,4,125,8,"",
2021-10-20,2,1,22.5,12,"",
2021-10-20,2,2,22.5,12,"",
2021-10-20,2,3,22.5,12,"",
2021-10-20,20,1,105,12,"",
2021-10-20,20,2,105,12,"",
2021-10-20,20,3,105,10,"",
2021-10-20,47,1,25,12,"",
2021-10-20,47,2,25,12,"",
2021-10-20,47,3,25,12,"",
2021-10-20,3,1,70,15,"",
2021-10-20,3,2,70,15,"",
2021-10-20,3,3,70,15,"",
2021-10-20,4,1,85,15,"",
2021-10-20,4,2,100,15,"",
2021-10-20,4,3,100,13,"",
2021-10-21,5,1,95,12,"",
2021-10-21,5,2,95,12,"",
2021-10-21,5,3,95,10,"",
2021-10-21,5,4,95,10,"",
2021-10-21,48,1,22.5,8,"",
2021-10-21,48,2,22.5,7,"",
2021-10-21,48,3,22.5,7,"",
2021-10-21,32,1,27.5,10,"",
2021-10-21,32,2,27.5,9,"",
2021-10-21,32,3,27.5,10,"",
2021-10-21,8,1,24,10,"",
2021-10-21,8,2,24,10,"",
2021-10-21,8,3,24,10,"",
2021-10-21,10,1,10,15,"",
2021-10-21,10,2,10,15,"",
2021-10-21,10,3,10,15,"",
2021-10-21,44,1,10,12,"",
2021-10-21,44,2,10,12,"",
2021-10-21,44,3,10,12,"",
2021-10-21,52,1,10,10,"",
2021-10-21,52,2,10,10,"",
2021-10-22,54,1,85,12,"",
2021-10-22,54,2,85,12,"",
2021-10-22,54,3,85,12,"",
2021-10-22,54,4,85,10,"",
2021-10-22,55,1,35,10,"",
2021-10-22,55,2,35,10,"",
2021-10-22,55,3,35,10,"",
2021-10-22,53,1,75,12,"",
2021-10-22,53,2,75,12,"",
2021-10-22,53,3,75,12,"",
2021-10-23,19,1,190,12,"",
2021-10-23,19,2,190,13,"",
2021-10-23,19,3,190,15,"",
2021-10-23,19,4,190,15,"",
2021-10-23,56,1,190,10,"",
2021-10-23,56,2,190,10,"",
2021-10-23,56,3,190,10,"",
2021-10-23,56,4,190,10,"",
2021-10-23,29,1,42.5,12,"",
2021-10-23,29,2,42.5,12,"",
2021-10-23,29,3,42.5,10,"",
2021-10-23,21,1,32.5,20,"",
2021-10-23,21,2,32.5,20,"",
2021-10-23,21,3,32.5,15,"",
2021-10-23,3,1,90,17,"",
2021-10-23,3,2,100,15,"",
2021-10-23,3,3,100,15,"",
2021-10-23,3,4,60,11,"",
2021-10-23,3,5,30,11,"",
2021-10-23,4,1,55,12,"",
2021-10-23,4,2,55,12,"",
2021-10-23,4,3,55,12,"",
2021-10-23,4,4,40,11,"",
2021-10-23,4,5,20,11,"",
2021-10-24,23,1,85,10,"",
2021-10-24,23,2,85,11,"",
2021-10-24,23,3,85,10,"",
2021-10-24,42,1,50,9,"",
2021-10-24,42,2,50,9,"",
2021-10-24,42,3,50,9,"",
2021-10-24,25,1,32.5,12,"",
